"","BrCrCode","Planted","nonPsa","PsaDeaths","survivalrate"
"1","01",207,0,191,7.73
"2","02",152,0,148,2.63
"3","03",214,4,194,7.62
"4","07",128,2,68,46.03
"5","08",138,0,103,25.36
"6","09",64,0,44,31.25
"7","10",42,0,31,26.19
"8","12",80,0,55,31.25
"9","13",17,0,14,17.65
"10","134",3,0,1,66.67
"11","135",2,0,1,50
