"","BrCrCode","Planted","nonPsa","PsaDeaths","survivalrate"
"1","dA",190,2,184,2.13
"2","dB",382,2,348,8.42
"3","dC",1,0,1,0
"4","dG",71,0,61,14.08
"5","dH",44,1,37,13.95
"6","DH",5,0,2,60
"7","dI",105,1,63,39.42
"8","dJ",194,0,115,40.72
"9","dK",38,0,25,34.21
"10","Red19OP",17,0,14,17.65
