"CrossName","BrCrCode","Synonym","sexTestRes","Program","Subprogram","Concept","Funding","Contract","Breeder","Planted","nonPsa","PsaDeaths","Remaining","Percent_Remaining"
"16A Russell","16A Russell","","","Gold","2x Yellow","","","PT1301","Luis Gea","6","0","4","2","33.33"
"K12.0227","PX_287","PX_287","Female","Gold","2x Yellow","","","PT1401","Russell Lowe","26","0","16","10","38.46"
"K12.0227","PX_287","PX_287","Male","Gold","2x Yellow","","","PT1401","Russell Lowe","21","1","14","6","28.57"
"K12.0227","PX_287","PX_287","Unknown","Gold","2x Yellow","","","PT1401","Russell Lowe","2","0","0","2","100"
"K12.0227","PX_287","PX_287","","Gold","2x Yellow","","","PT1401","Russell Lowe","1","0","0","1","100"
"rLG_287","rLG_287","","","Gold","2x Yellow","","","PT1401","Luis Gea","132","8","104","20","15.15"
"T01/RL/b13/F04","T01/RL/b13/F04","Yellow 3; T02.13-15-14g; G3; ZesY002; Y3","","Gold","Control(toDEL)","","Parental","PT1301","Russell Lowe","3","0","0","3","100"
"CK0010","","CK10_03","","Gold","Control(toDEL)","","Parental","PT1301","Russell Lowe","2","0","2","0","0"
"","Hayward","","","Green","Control(toDEL)","","Parental","PT1301","","1","0","0","1","100"
"K12.0927","PW_501","PW_501","","Green","Green","","Parental","PT1401","Elizabeth Popowski","33","0","3","30","90.91"
"Zi187","Zi187","","","Green","Green","","Parental","PT1301","Elizabeth Popowski","1","0","0","1","100"
"JC287","JC287","","","Hybrid","Hybrid(toDEL)","","Parental","PT1301","Elizabeth Popowski","15","0","1","14","93.33"
"JD287","JD287","","","Hybrid","Hybrid(toDEL)","","Parental","PT1301","Elizabeth Popowski","119","6","15","98","82.35"
"JE287","JE287","","","Hybrid","Hybrid(toDEL)","","Parental","PT1301","Elizabeth Popowski","147","5","68","74","50.34"
"JG287","JG287","","","Hybrid","Hybrid(toDEL)","","Parental","PT1301","Elizabeth Popowski","231","6","63","162","70.13"
"JK287","JK287","","","Hybrid","Hybrid(toDEL)","","Parental","PT1301","Elizabeth Popowski","56","2","39","15","26.79"
"LI_287","LI_287","","","Hybrid","Hybrid(toDEL)","","Parental","PT1301","Luis Gea","110","11","22","77","70"
"LKB_287","LKB_287","","","Hybrid","Hybrid(toDEL)","","Parental","PT1301","Luis Gea","42","3","12","27","64.29"
"LN287","LN287","","","Hybrid","Hybrid(toDEL)","","Parental","PT1301","Elizabeth Popowski","1","0","0","1","100"
"LO287","LO287","","","Hybrid","Hybrid(toDEL)","","Parental","PT1301","Elizabeth Popowski","1","0","0","1","100"
"LU287","LU287","","","Hybrid","Hybrid(toDEL)","","Parental","PT1301","Elizabeth Popowski","18","0","5","13","72.22"
"K13.0557","pA_287","","","Hybrid","Hybrid(toDEL)","","Parental","PT1501","Alan Seal","27","0","7","20","74.07"
"Zi287","Zi287","","","Hybrid","Hybrid(toDEL)","","Parental","PT1301","Elizabeth Popowski","50","0","15","35","70"
"rLA_287","rLA_287","","","Red","4x Red","","Parental","PT1301","Luis Gea","108","3","93","12","11.11"
"rLC_287","rLC_287","","","Red","4x Red","","Parental","PT1301","Luis Gea","107","6","73","28","26.17"
