"CrossName","BrCrCode","Synonym","sexTestRes","Program","Subprogram","Concept","Funding","Contract","Breeder","Planted","nonPsa","PsaDeaths","Remaining","Percent_Remaining"
"pAA335","pAA335","","","Gold","Allelic Conservation(toDEL)","","Parental","","Paul Datson","23","1","20","2","8.7"
"pAB332","pAB332","","","Gold","Allelic Conservation(toDEL)","","Parental","","Paul Datson","30","0","30","0","0"
"pAB342","pAB342","","","Gold","Allelic Conservation(toDEL)","","Parental","","Paul Datson","10","0","10","0","0"
"pAC333","pAC333","","","Gold","Allelic Conservation(toDEL)","","Parental","","Paul Datson","34","1","25","8","23.53"
"pAD339","pAD339","","","Gold","Allelic Conservation(toDEL)","","Parental","","Paul Datson","103","2","96","5","4.85"
"pAD341","pAD341","","","Gold","Allelic Conservation(toDEL)","","Parental","","Paul Datson","100","2","96","2","2"
"pAD343","pAD343","","","Gold","Allelic Conservation(toDEL)","","Parental","","Paul Datson","97","6","78","13","13.4"
"pAE334","pAE334","","","Gold","Allelic Conservation(toDEL)","","Parental","","Paul Datson","30","1","20","9","30"
"pAF338","pAF338","","","Gold","Allelic Conservation(toDEL)","","Parental","","Paul Datson","32","2","30","0","0"
"pAH332","pAH332","","","Gold","Allelic Conservation(toDEL)","","Parental","","Paul Datson","30","0","18","12","40"
"pAH337","pAH337","","","Gold","Allelic Conservation(toDEL)","","Parental","","Paul Datson","30","1","26","3","10"
"pAI332","pAI332","","","Gold","Allelic Conservation(toDEL)","","Parental","","Paul Datson","30","5","18","7","23.33"
"pAI338","pAI338","","","Gold","Allelic Conservation(toDEL)","","Parental","","Paul Datson","30","0","25","5","16.67"
"pAJ332","pAJ332","","","Gold","Allelic Conservation(toDEL)","","Parental","","Paul Datson","1","0","1","0","0"
"pAK341","pAK341","","","Gold","Allelic Conservation(toDEL)","","Parental","","Paul Datson","30","1","22","7","23.33"
"pAL332","pAL332","","","Gold","Allelic Conservation(toDEL)","","Parental","","Paul Datson","30","2","19","9","30"
"pAL339","pAL339","","","Gold","Allelic Conservation(toDEL)","","Parental","","Paul Datson","62","0","39","23","37.1"
"pAL341","pAL341","","","Gold","Allelic Conservation(toDEL)","","Parental","","Paul Datson","20","2","10","8","40"
"pAL343","pAL343","","","Gold","Allelic Conservation(toDEL)","","Parental","","Paul Datson","112","3","75","34","30.36"
"pAM343","pAM343","","","Gold","Allelic Conservation(toDEL)","","Parental","","Paul Datson","30","1","24","5","16.67"
"pAN337","pAN337","","","Gold","Allelic Conservation(toDEL)","","Parental","","Paul Datson","31","0","31","0","0"
"pAO339","pAO339","","","Gold","Allelic Conservation(toDEL)","","Parental","","Paul Datson","50","3","39","8","16"
"pAP343","pAP343","","","Gold","Allelic Conservation(toDEL)","","Parental","","Paul Datson","30","1","27","2","6.67"
"pAQ336","pAQ336","","","Gold","Allelic Conservation(toDEL)","","Parental","","Paul Datson","35","1","30","4","11.43"
"pAR198","pAR198","","","Gold","Allelic Conservation(toDEL)","","Parental","","Paul Datson","116","2","99","15","12.93"
