"CrossName","BrCrCode","Synonym","sexTestRes","Program","Subprogram","Concept","Funding","Contract","Breeder","Planted","nonPsa","PsaDeaths","Remaining","Percent_Remaining"
"K14.0778","rG_348","","Female","Red","2x Red","","","NC1601","Russell Lowe","14","0","10","4","28.57"
"K14.0778","rG_348","","Male","Red","2x Red","","","NC1601","Russell Lowe","2","0","1","1","50"
"K14.0024","rKU_243","","Female","Red","2x Red","","","NC1601","Russell Lowe","14","0","4","10","71.43"
"K14.0024","rKU_243","","Male","Red","2x Red","","","NC1601","Russell Lowe","2","0","1","1","50"
"K14.0760","rOC_287","","Female","Red","2x Red","","","NC1601","Russell Lowe","55","2","15","38","69.09"
"K14.0760","rOC_287","","Male","Red","2x Red","","","NC1601","Russell Lowe","8","0","2","6","75"
"K14.0764","rOD_348","","Female","Red","2x Red","","","NC1601","Russell Lowe","36","1","30","5","13.89"
"K14.0764","rOD_348","","Male","Red","2x Red","","","NC1601","Russell Lowe","5","0","4","1","20"
"K14.0765","rOE_208","","Female","Red","2x Red","","","NC1601","Russell Lowe","25","0","9","16","64"
"K14.0765","rOE_208","","Male","Red","2x Red","","","NC1601","Russell Lowe","3","0","0","3","100"
"K14.0768","rOE_347","","Female","Red","2x Red","","","NC1601","Russell Lowe","21","1","12","8","38.1"
"K14.0768","rOE_347","","Male","Red","2x Red","","","NC1601","Russell Lowe","3","0","3","0","0"
"K14.0772","rOG_208","","Female","Red","2x Red","","","NC1601","Russell Lowe","30","0","14","16","53.33"
"K14.0772","rOG_208","","Male","Red","2x Red","","","NC1601","Russell Lowe","6","0","2","4","66.67"
"K14.0774","rOG_287","","Female","Red","2x Red","","","NC1601","Russell Lowe","62","0","30","32","51.61"
"K14.0774","rOG_287","","Male","Red","2x Red","","","NC1601","Russell Lowe","9","0","4","5","55.56"
"K14.0775","rOG_347","","Female","Red","2x Red","","","NC1601","Russell Lowe","26","0","19","7","26.92"
"K14.0775","rOG_347","","Male","Red","2x Red","","","NC1601","Russell Lowe","4","0","2","2","50"
"K14.0773","rOG_352","","Female","Red","2x Red","","","NC1601","Russell Lowe","42","3","32","7","16.67"
"K14.0773","rOG_352","","Male","Red","2x Red","","","NC1601","Russell Lowe","6","0","6","0","0"
"K14.0078","rOJ_208/2","","Female","Red","2x Red","","","NC1601","Russell Lowe","20","0","4","16","80"
"K14.0078","rOJ_208/2","","Male","Red","2x Red","","","NC1601","Russell Lowe","3","0","0","3","100"
"K14.0067","rOJ_239/1","","Female","Red","2x Red","","","NC1601","Russell Lowe","68","0","14","54","79.41"
"K14.0067","rOJ_239/1","","Male","Red","2x Red","","","NC1601","Russell Lowe","10","0","3","7","70"
"K14.0064","rOJ_240/1","","Female","Red","2x Red","","","NC1601","Russell Lowe","59","1","22","36","61.02"
"K14.0064","rOJ_240/1","","Male","Red","2x Red","","","NC1601","Russell Lowe","7","0","3","4","57.14"
"K14.0072","rOJ_240/2","","Female","Red","2x Red","","","NC1601","Russell Lowe","26","0","7","19","73.08"
"K14.0072","rOJ_240/2","","Male","Red","2x Red","","","NC1601","Russell Lowe","5","0","0","5","100"
"K13.1347","rOJ_287","","Female","Red","2x Red","","","NC1601","Russell Lowe","119","2","33","84","70.59"
"K13.1347","rOJ_287","","Male","Red","2x Red","","","NC1601","Russell Lowe","16","0","5","11","68.75"
"K14.0062","rOJ_287/1","","Female","Red","2x Red","","","NC1601","Russell Lowe","100","0","24","76","76"
"K14.0062","rOJ_287/1","","Male","Red","2x Red","","","NC1601","Russell Lowe","15","1","2","12","80"
"K14.0070","rOJ_287/2","","Female","Red","2x Red","","","NC1601","Russell Lowe","54","4","13","37","68.52"
"K14.0070","rOJ_287/2","","Male","Red","2x Red","","","NC1601","Russell Lowe","8","1","2","5","62.5"
"K14.0076","rOJ_765/1","","Female","Red","2x Red","","","NC1601","Russell Lowe","56","1","13","42","75"
"K14.0076","rOJ_765/1","","Male","Red","2x Red","","","NC1601","Russell Lowe","8","0","2","6","75"
"K14.0082","rOJ_765/2","","Female","Red","2x Red","","","NC1601","Russell Lowe","116","2","22","92","79.31"
"K14.0082","rOJ_765/2","","Male","Red","2x Red","","","NC1601","Russell Lowe","17","0","5","12","70.59"
"K14.0009","rPM_208","","Female","Red","2x Red","","","NC1601","Russell Lowe","13","0","6","7","53.85"
"K14.0009","rPM_208","","Male","Red","2x Red","","","NC1601","Russell Lowe","2","0","2","0","0"
"K14.0010","rPM_287","","Female","Red","2x Red","","","NC1601","Russell Lowe","63","0","12","51","80.95"
"K14.0010","rPM_287","","Male","Red","2x Red","","","NC1601","Russell Lowe","9","0","5","4","44.44"
