"CrossName","BrCrCode","Synonym","sexTestRes","Program","Subprogram","Concept","Funding","Contract","Breeder","Planted","nonPsa","PsaDeaths","Remaining","Percent_Remaining"
"16A Russell","16A Russell","","","Gold","2x Yellow","","","PT1301","Luis Gea","22","1","6","15","68.18"
"CK0015","CK0015","G4A4","","Gold","2x Yellow","","","","","4","0","2","2","50"
"Hort16A OP","Hort16A OP","","","Gold","2x Yellow","","","NC1301","Russell Lowe","3","0","0","3","100"
"K13.0538","aCK_249","","Male","Gold","4x Yellow","","","NC1501","Alan Seal","17","0","3","14","82.35"
"K13.0537","aCK_321","","Female","Gold","4x Yellow","","","NC1501","Alan Seal","12","0","3","9","75"
"K13.0537","aCK_321","","Male","Gold","4x Yellow","","","NC1501","Alan Seal","5","0","1","4","80"
"eH16","eH16","","","Gold","4x Yellow","","","NC1301","Canhong Cheng","16","0","1","15","93.75"
"K13.0529","GT_249","","Female","Gold","4x Yellow","","","NC1501","Alan Seal","3","1","1","1","33.33"
"K13.0529","GT_249","","Male","Gold","4x Yellow","","","NC1501","Alan Seal","6","1","3","2","33.33"
"K13.0529","GT_249","","Negative","Gold","4x Yellow","","","NC1501","Alan Seal","1","0","1","0","0"
"K13.0528","GT_321","","Female","Gold","4x Yellow","","","NC1501","Alan Seal","1","0","0","1","100"
"K13.0528","GT_321","","Male","Gold","4x Yellow","","","NC1501","Alan Seal","97","1","37","59","60.82"
"K13.0525","GT_607","","Female","Gold","4x Yellow","","","NC1501","Alan Seal","6","0","2","4","66.67"
"K13.0525","GT_607","","Male","Gold","4x Yellow","","","NC1501","Alan Seal","4","0","0","4","100"
"K13.0525","GT_607","","Negative","Gold","4x Yellow","","","NC1501","Alan Seal","1","0","0","1","100"
"GU22","GU22","","","Gold","4x Yellow","","","NC1301","Russell Lowe","4","0","1","3","75"
"GU23","GU23","","","Gold","4x Yellow","","","NC1301","Russell Lowe","4","0","3","1","25"
"GZ22","GZ22","","","Gold","4x Yellow","","","NC1301","Russell Lowe","6","0","0","6","100"
"rJE_295","rJE_295","","","Gold","4x Yellow","","","NC1301","Russell Lowe","3","0","1","2","66.67"
"rJE_296","rJE_296","","","Gold","4x Yellow","","","NC1301","Russell Lowe","3","0","0","3","100"
"K13.0280","rJH_297","","Female","Gold","4x Yellow","","","NC1501","Russell Lowe","36","0","10","26","72.22"
"K13.0280","rJH_297","","Male","Gold","4x Yellow","","","NC1501","Russell Lowe","8","1","3","4","50"
"K14.0096","rJV_022","","Female","Gold","4x Yellow","","","NC1601","Russell Lowe","4","0","0","4","100"
"K14.0096","rJV_022","","Negative","Gold","4x Yellow","","","NC1601","Russell Lowe","1","0","0","1","100"
