"CrossName","BrCrCode","Synonym","sexTestRes","Program","Subprogram","Concept","Funding","Contract","Breeder","Planted","nonPsa","PsaDeaths","Remaining","Percent_Remaining"
"K13.1120","UJ_583","","","Green","Green","","Commercial","NC1501","Elizabeth Popowski","190","43","17","130","68.42"
"K13.1049","UM_583","","","Green","Green","","Commercial","NC1501","Elizabeth Popowski","40","13","5","22","55"
"K13.1063","US_583","","","Green","Green","","Commercial","NC1501","Elizabeth Popowski","115","54","16","45","39.13"
"K13.1066","UT_574","","","Green","Green","","Commercial","NC1501","Elizabeth Popowski","46","19","6","21","45.65"
"K13.1067","UT_583","","","Green","Green","","Commercial","NC1501","Elizabeth Popowski","87","46","20","21","24.14"
"K12.0573","rG_351","rG_351","Female","Red","2x Red","","Commercial","NC1574","Russell Lowe","10","0","5","5","50"
"K12.0533","rMA_351","rMA_351","Female","Red","2x Red","","Commercial","NC1574","Russell Lowe","21","0","11","10","47.62"
"K12.0533","rMA_351","rMA_351","Male","Red","2x Red","","Commercial","NC1574","Russell Lowe","1","0","1","0","0"
"K12.0533","rMA_351","rMA_351","Negative","Red","2x Red","","Commercial","NC1574","Russell Lowe","3","0","0","3","100"
"K12.0533","rMA_351","rMA_351","Unknown","Red","2x Red","","Commercial","NC1574","Russell Lowe","1","0","1","0","0"
"K13.1299","rOC_208","","Female","Red","2x Red","","Commercial","NC1501","Russell Lowe","39","0","30","9","23.08"
"K13.1299","rOC_208","","Male","Red","2x Red","","Commercial","NC1501","Russell Lowe","7","0","6","1","14.29"
"K13.1300","rOC_287","","Female","Red","2x Red","","Commercial","NC1501","Russell Lowe","113","5","88","20","17.7"
"K13.1300","rOC_287","","Male","Red","2x Red","","Commercial","NC1501","Russell Lowe","7","0","6","1","14.29"
"K13.1300","rOC_287","","Negative","Red","2x Red","","Commercial","NC1501","Russell Lowe","4","0","4","0","0"
"K13.1308","rOD_287","","Female","Red","2x Red","","Commercial","NC1501","Russell Lowe","198","2","187","9","4.55"
"K13.1308","rOD_287","","Male","Red","2x Red","","Commercial","NC1501","Russell Lowe","13","0","13","0","0"
"K13.1308","rOD_287","","Negative","Red","2x Red","","Commercial","NC1501","Russell Lowe","1","0","1","0","0"
"K13.1313","rOD_352","","Female","Red","2x Red","","Commercial","NC1501","Russell Lowe","167","12","154","1","0.6"
"K13.1313","rOD_352","","Male","Red","2x Red","","Commercial","NC1501","Russell Lowe","11","0","11","0","0"
"K13.1314","rOD_354","","Female","Red","2x Red","","Commercial","NC1501","Russell Lowe","203","5","193","5","2.46"
"K13.1314","rOD_354","","Male","Red","2x Red","","Commercial","NC1501","Russell Lowe","10","0","10","0","0"
"K13.1315","rOE_208","","Female","Red","2x Red","","Commercial","NC1501","Russell Lowe","174","2","130","42","24.14"
"K13.1315","rOE_208","","Male","Red","2x Red","","Commercial","NC1501","Russell Lowe","8","0","5","3","37.5"
"K13.1316","rOE_287","","Female","Red","2x Red","","Commercial","NC1501","Russell Lowe","152","3","125","24","15.79"
"K13.1316","rOE_287","","Male","Red","2x Red","","Commercial","NC1501","Russell Lowe","9","0","6","3","33.33"
"K13.1316","rOE_287","","Negative","Red","2x Red","","Commercial","NC1501","Russell Lowe","2","0","2","0","0"
"K13.1321","rOE_352","","Female","Red","2x Red","","Commercial","NC1501","Russell Lowe","107","6","94","7","6.54"
"K13.1321","rOE_352","","Male","Red","2x Red","","Commercial","NC1501","Russell Lowe","8","0","6","2","25"
"K13.1321","rOE_352","","Negative","Red","2x Red","","Commercial","NC1501","Russell Lowe","2","0","2","0","0"
"K13.1322","rOE_354","","Female","Red","2x Red","","Commercial","NC1501","Russell Lowe","221","0","175","46","20.81"
"K13.1322","rOE_354","","Male","Red","2x Red","","Commercial","NC1501","Russell Lowe","13","1","11","1","7.69"
"K13.1322","rOE_354","","Negative","Red","2x Red","","Commercial","NC1501","Russell Lowe","20","0","15","5","25"
"K13.1324","rOF_287","","Female","Red","2x Red","","Commercial","NC1501","Russell Lowe","131","9","94","28","21.37"
"K13.1324","rOF_287","","Male","Red","2x Red","","Commercial","NC1501","Russell Lowe","8","0","8","0","0"
"K13.1324","rOF_287","","Negative","Red","2x Red","","Commercial","NC1501","Russell Lowe","3","0","2","1","33.33"
"K13.1328","rOF_348","","Female","Red","2x Red","","Commercial","NC1501","Russell Lowe","27","2","24","1","3.7"
"K13.1328","rOF_348","","Male","Red","2x Red","","Commercial","NC1501","Russell Lowe","1","0","1","0","0"
"K13.1329","rOF_352","","Female","Red","2x Red","","Commercial","NC1501","Russell Lowe","15","0","15","0","0"
"K13.1332","rOG_287","","Female","Red","2x Red","","Commercial","NC1501","Russell Lowe","154","6","117","31","20.13"
"K13.1332","rOG_287","","Male","Red","2x Red","","Commercial","NC1501","Russell Lowe","7","0","3","4","57.14"
"K13.1332","rOG_287","","Negative","Red","2x Red","","Commercial","NC1501","Russell Lowe","3","0","3","0","0"
"K13.1332","rOG_287","","Unknown","Red","2x Red","","Commercial","NC1501","Russell Lowe","1","0","1","0","0"
"K13.0932","rOJ _208","","Female","Red","2x Red","","Commercial","NC1501","Russell Lowe","220","1","99","120","54.55"
"K13.0932","rOJ _208","","Male","Red","2x Red","","Commercial","NC1501","Russell Lowe","13","1","10","2","15.38"
"K13.0935","rOJ _240","","Female","Red","2x Red","","Commercial","NC1501","Russell Lowe","504","1","228","275","54.56"
"K13.0935","rOJ _240","","Male","Red","2x Red","","Commercial","NC1501","Russell Lowe","29","0","14","15","51.72"
"K13.0935","rOJ _240","","Negative","Red","2x Red","","Commercial","NC1501","Russell Lowe","2","0","2","0","0"
"K13.0935","rOJ _240","","Unknown","Red","2x Red","","Commercial","NC1501","Russell Lowe","3","0","3","0","0"
"K13.0933","rOJ _241","","Female","Red","2x Red","","Commercial","NC1501","Russell Lowe","213","1","102","110","51.64"
"K13.0933","rOJ _241","","Male","Red","2x Red","","Commercial","NC1501","Russell Lowe","16","0","7","9","56.25"
"K13.0933","rOJ _241","","Unknown","Red","2x Red","","Commercial","NC1501","Russell Lowe","2","0","1","1","50"
"K13.0937","rOJ _244","","Female","Red","2x Red","","Commercial","NC1501","Russell Lowe","581","2","228","351","60.41"
"K13.0937","rOJ _244","","Male","Red","2x Red","","Commercial","NC1501","Russell Lowe","41","1","18","22","53.66"
"K13.0937","rOJ _244","","Negative","Red","2x Red","","Commercial","NC1501","Russell Lowe","2","0","0","2","100"
"K13.0937","rOJ _244","","Unknown","Red","2x Red","","Commercial","NC1501","Russell Lowe","2","0","1","1","50"
"K13.0938","rOJ _248","","Female","Red","2x Red","","Commercial","NC1501","Russell Lowe","73","0","19","54","73.97"
"K13.0938","rOJ _248","","Male","Red","2x Red","","Commercial","NC1501","Russell Lowe","3","0","1","2","66.67"
"K13.0934","rOJ _287","","Female","Red","2x Red","","Commercial","NC1501","Russell Lowe","250","1","98","151","60.4"
"K13.0934","rOJ _287","","Male","Red","2x Red","","Commercial","NC1501","Russell Lowe","10","0","5","5","50"
"K13.0934","rOJ _287","","Negative","Red","2x Red","","Commercial","NC1501","Russell Lowe","5","0","1","4","80"
"K13.0941","rOJ _M101","","","Red","2x Red","","Commercial","NC1501","Russell Lowe","35","0","9","26","74.29"
"K12.0037","cAH_801","cAH_801","Female","Red","4x Red","","Commercial","NC1574","Canhong Cheng","15","0","2","13","86.67"
"K12.0037","cAH_801","cAH_801","Male","Red","4x Red","","Commercial","NC1574","Canhong Cheng","1","0","1","0","0"
"K12.0037","cAH_801","cAH_801","Negative","Red","4x Red","","Commercial","NC1574","Canhong Cheng","2","0","0","2","100"
"K12.0037","cAH_801","cAH_801","Unknown","Red","4x Red","","Commercial","NC1574","Canhong Cheng","1","0","0","1","100"
"K12.0026","rNP_874","","Female","Red","4x Red","","Commercial","NC1574","Canhong Cheng","26","0","7","19","73.08"
"K12.0026","rNP_874","","Male","Red","4x Red","","Commercial","NC1574","Canhong Cheng","2","0","0","2","100"
"K12.0026","rNP_874","","Negative","Red","4x Red","","Commercial","NC1574","Canhong Cheng","5","0","0","5","100"
"K13.1302","rOC_346","","Female","Red","4x Red","","Commercial","NC1501","Russell Lowe","19","0","10","9","47.37"
"K13.0973","rPA _R01","","Female","Red","4x Red","","Commercial","NC1501","Russell Lowe","43","0","5","38","88.37"
"K13.0973","rPA _R01","","Male","Red","4x Red","","Commercial","NC1501","Russell Lowe","5","0","2","3","60"
"K13.0973","rPA _R01","","Negative","Red","4x Red","","Commercial","NC1501","Russell Lowe","3","0","0","3","100"
"K13.0973","rPA _R01","","","Red","4x Red","","Commercial","NC1501","Russell Lowe","60","0","4","56","93.33"
"K13.0944","rOJ _R01","","","Red","DACK","","Commercial","NC1501","Russell Lowe","203","0","74","129","63.55"
