CrossName,BrCrCode,Synonym,sexTestRes,Program,Subprogram,Concept,Funding,Contract,Breeder,Planted,nonPsa,PsaDeaths,Remaining,Percent_Remaining
K12.0870,NG_504,NG_504,,Green,Green,,Commercial,NC1401,Elizabeth Popowski,34,0,0,34,100
K12.0873,NG_505,NG_505,,Green,Green,,Commercial,NC1401,Elizabeth Popowski,154,8,17,129,83.77
K12.0871,NG_506,NG_506,,Green,Green,,Commercial,NC1401,Elizabeth Popowski,38,0,3,35,92.11
K12.0872,NG_507,NG_507,,Green,Green,,Commercial,NC1401,Elizabeth Popowski,322,13,41,268,83.23
K12.0875,NG_522,NG_522,,Green,Green,,Commercial,NC1401,Elizabeth Popowski,50,1,4,45,90
K12.0582,QA_531,QA_531,,Green,Green,,Commercial,NC1401,Elizabeth Popowski,40,0,4,36,90
K12.0591,QC_539,QC_539,,Green,Green,,Commercial,NC1401,Elizabeth Popowski,93,1,14,78,83.87
K12.0593,QD_530,QD_530,,Green,Green,,Commercial,NC1401,Elizabeth Popowski,90,6,11,73,81.11
K12.0595,QD_545,QD_545,,Green,Green,,Commercial,NC1401,Elizabeth Popowski,71,3,15,53,74.65
K12.0597,QE_541,QE_541,,Green,Green,,Commercial,NC1401,Elizabeth Popowski,92,4,60,28,30.43
K09.0004,ZI132,ZI132,,Green,Green,,Commercial,NC1401,Elizabeth Popowski,176,2,10,164,93.18
K09.0003,ZS131,ZS131,,Green,Green,,Commercial,NC1401,Elizabeth Popowski,130,3,14,113,86.92
K12.0834,NH_523,NH_523,,Green,Green,,Parental,PT1401,Elizabeth Popowski,7,0,0,7,100
K12.0833,NH_528,NH_528,,Green,Green,,Parental,PT1401,Elizabeth Popowski,7,1,1,5,71.43
K14.0139,cXA_702,,,Red,,,Commercial,NC1601,Canhong Cheng,1,0,0,1,100
K14.0368,cAC_726,,,Red,,,,,Paul Datson,36,0,0,36,100
K14.0346,cAD_714,,,Red,,,,,Paul Datson,20,0,0,20,100
K14.0348,cAD_727,,,Red,,,,,Paul Datson,1,0,0,1,100
K14.0347,cAD_740,,,Red,,,,,Paul Datson,1,0,0,1,100
K14.0350,cAE_476,,,Red,,,,,Paul Datson,18,0,0,18,100
K14.0351,cAE_718,,,Red,,,,,Paul Datson,27,0,0,27,100
K14.0338,cD_712,,,Red,,,,,Paul Datson,5,0,0,5,100
K14.0335,cD_718,,,Red,,,,,Paul Datson,2,0,0,2,100
K14.0336,cD_735,,,Red,,,,,Paul Datson,28,0,0,28,100
K14.0355,cJ_735,,,Red,,,,,Paul Datson,13,0,0,13,100
K14.0380,cP_711,,,Red,,,,,Paul Datson,26,0,0,26,100
K14.0332,cU_738,,,Red,,,,,Paul Datson,40,0,0,40,100
K14.0323,cW_732,,,Red,,,,,Paul Datson,21,0,0,21,100
K14.0322,cW_737,,,Red,,,,,Paul Datson,12,0,0,12,100
K14.0232,cXZ_760,,,Red,,,,,Paul Datson,21,0,0,21,100
K14.0235,cYB_476/1,,,Red,,,,,Paul Datson,1,0,0,1,100
K14.0240,cYB_476/2,,,Red,,,,,Paul Datson,1,0,0,1,100
K14.0247,cYB_761,,,Red,,,,,Paul Datson,6,0,0,6,100
K14.0273,cYH_714,,,Red,,,,,Paul Datson,30,0,0,30,100
K14.0274,cYJ_476,,,Red,,,,,Paul Datson,18,0,0,18,100
K14.0275,cYK_714,,,Red,,,,,Paul Datson,25,0,0,25,100
K14.0276,cYK_742,,,Red,,,,,Paul Datson,29,0,0,29,100
K14.0303,cZ_476,,,Red,,,,,Paul Datson,1,0,0,1,100
K14.0384,rPD_717,,,Red,,,,,Paul Datson,23,0,0,23,100
K14.0383,rPD_738,,,Red,,,,,Paul Datson,25,0,0,25,100
K14.0382,rPD_743,,,Red,,,,,Paul Datson,23,0,0,23,100
K14.0251,TG_707,,,Red,,,,,Paul Datson,12,0,1,11,91.67
K14.0252,,,,Red,,,,,Paul Datson,12,0,1,11,91.67
K14.0253,,,,Red,,,,,Paul Datson,12,0,1,11,91.67
K14.0254,,,,Red,,,,,Paul Datson,12,0,1,11,91.67
K14.0255,,,,Red,,,,,Paul Datson,12,0,1,11,91.67
K14.0256,,,,Red,,,,,Paul Datson,12,0,1,11,91.67
K12.1067,MA_502,MA_502,,Green,Green,,Commercial,NC1399,Elizabeth Popowski,96,2,3,91,94.79
K12.1068,MA_502,MA_502,,Green,Green,,Commercial,NC1400,Elizabeth Popowski,96,2,3,91,94.79
K12.1069,MA_502,MA_502,,Green,Green,,Commercial,NC1401,Elizabeth Popowski,96,2,3,91,94.79
K12.1070,MA_502,MA_502,,Green,Green,,Commercial,NC1402,Elizabeth Popowski,96,2,3,91,94.79
K12.1071,MA_502,MA_502,,Green,Green,,Commercial,NC1403,Elizabeth Popowski,96,2,3,91,94.79
K12.1072,MA_502,MA_502,,Green,Green,,Commercial,NC1404,Elizabeth Popowski,96,2,3,91,94.79
K12.1073,MA_502,MA_502,,Green,Green,,Commercial,NC1405,Elizabeth Popowski,96,2,3,91,94.79
K12.1074,MA_502,MA_502,,Green,Green,,Commercial,NC1406,Elizabeth Popowski,96,2,3,91,94.79
K12.1075,MA_502,MA_502,,Green,Green,,Commercial,NC1407,Elizabeth Popowski,96,2,3,91,94.79
K12.1035,MF_529,MF_529,,Green,Green,,Commercial,NC1401,Elizabeth Popowski,7,0,0,7,100
K12.1036,MF_529,MF_529,,Green,Green,,Commercial,NC1402,Elizabeth Popowski,7,0,0,7,100
K12.1037,MF_529,MF_529,,Green,Green,,Commercial,NC1403,Elizabeth Popowski,7,0,0,7,100
K12.1038,MF_529,MF_529,,Green,Green,,Commercial,NC1404,Elizabeth Popowski,7,0,0,7,100
K12.1039,MF_529,MF_529,,Green,Green,,Commercial,NC1405,Elizabeth Popowski,7,0,0,7,100
K12.1040,MF_529,MF_529,,Green,Green,,Commercial,NC1406,Elizabeth Popowski,7,0,0,7,100
K12.1041,MF_529,MF_529,,Green,Green,,Commercial,NC1407,Elizabeth Popowski,7,0,0,7,100
K12.1042,MF_529,MF_529,,Green,Green,,Commercial,NC1408,Elizabeth Popowski,7,0,0,7,100
K12.1043,MF_529,MF_529,,Green,Green,,Commercial,NC1409,Elizabeth Popowski,7,0,0,7,100
K12.1044,MF_529,MF_529,,Green,Green,,Commercial,NC1410,Elizabeth Popowski,7,0,0,7,100
K12.0873,NG_505,NG_505,,Green,Green,,Commercial,NC1401,Elizabeth Popowski,154,8,17,129,83.77
K12.0874,NG_505,NG_505,,Green,Green,,Commercial,NC1402,Elizabeth Popowski,154,8,17,129,83.77
K12.0875,NG_505,NG_505,,Green,Green,,Commercial,NC1403,Elizabeth Popowski,154,8,17,129,83.77
K12.0876,NG_505,NG_505,,Green,Green,,Commercial,NC1404,Elizabeth Popowski,154,8,17,129,83.77
K12.0877,NG_505,NG_505,,Green,Green,,Commercial,NC1405,Elizabeth Popowski,154,8,17,129,83.77
K12.0878,NG_505,NG_505,,Green,Green,,Commercial,NC1406,Elizabeth Popowski,154,8,17,129,83.77
K12.0879,NG_505,NG_505,,Green,Green,,Commercial,NC1407,Elizabeth Popowski,154,8,17,129,83.77
K12.0880,NG_505,NG_505,,Green,Green,,Commercial,NC1408,Elizabeth Popowski,154,8,17,129,83.77
K12.0881,NG_505,NG_505,,Green,Green,,Commercial,NC1409,Elizabeth Popowski,154,8,17,129,83.77
K12.0882,NG_505,NG_505,,Green,Green,,Commercial,NC1410,Elizabeth Popowski,154,8,17,129,83.77
K12.0883,NG_505,NG_505,,Green,Green,,Commercial,NC1411,Elizabeth Popowski,154,8,17,129,83.77
K12.0884,NG_505,NG_505,,Green,Green,,Commercial,NC1412,Elizabeth Popowski,154,8,17,129,83.77
K12.0833,NH_528,NH_528,,Green,Green,,Parental,PT1401,Elizabeth Popowski,7,1,1,5,71.43
K12.0834,NH_528,NH_528,,Green,Green,,Parental,PT1402,Elizabeth Popowski,7,1,1,5,71.43
K12.0835,NH_528,NH_528,,Green,Green,,Parental,PT1403,Elizabeth Popowski,7,1,1,5,71.43
K12.0836,NH_528,NH_528,,Green,Green,,Parental,PT1404,Elizabeth Popowski,7,1,1,5,71.43
K12.0837,NH_528,NH_528,,Green,Green,,Parental,PT1405,Elizabeth Popowski,7,1,1,5,71.43
K12.0838,NH_528,NH_528,,Green,Green,,Parental,PT1406,Elizabeth Popowski,7,1,1,5,71.43
K12.0839,NH_528,NH_528,,Green,Green,,Parental,PT1407,Elizabeth Popowski,7,1,1,5,71.43
K12.0840,NH_528,NH_528,,Green,Green,,Parental,PT1408,Elizabeth Popowski,7,1,1,5,71.43
K12.0841,NH_528,NH_528,,Green,Green,,Parental,PT1409,Elizabeth Popowski,7,1,1,5,71.43
K12.0842,NH_528,NH_528,,Green,Green,,Parental,PT1410,Elizabeth Popowski,7,1,1,5,71.43
K12.0843,NH_528,NH_528,,Green,Green,,Parental,PT1411,Elizabeth Popowski,7,1,1,5,71.43
K12.0844,NH_528,NH_528,,Green,Green,,Parental,PT1412,Elizabeth Popowski,7,1,1,5,71.43
K12.0845,NH_528,NH_528,,Green,Green,,Parental,PT1413,Elizabeth Popowski,7,1,1,5,71.43
K12.0846,NH_528,NH_528,,Green,Green,,Parental,PT1414,Elizabeth Popowski,7,1,1,5,71.43
K14.0323,cW_732,,,Red,,,,,Paul Datson,21,0,0,21,100
K14.0324,cW_733,,,Red,,,,,Paul Datson,21,0,0,21,100
K14.0325,cW_734,,,Red,,,,,Paul Datson,21,0,0,21,100
K14.0326,cW_735,,,Red,,,,,Paul Datson,21,0,0,21,100
K14.0327,cW_736,,,Red,,,,,Paul Datson,21,0,0,21,100
K14.0328,cW_737,,,Red,,,,,Paul Datson,21,0,0,21,100
K14.0329,cW_738,,,Red,,,,,Paul Datson,21,0,0,21,100
K14.0330,cW_739,,,Red,,,,,Paul Datson,21,0,0,21,100
K14.0331,cW_740,,,Red,,,,,Paul Datson,21,0,0,21,100
K14.0332,cW_741,,,Red,,,,,Paul Datson,21,0,0,21,100
K14.0333,cW_742,,,Red,,,,,Paul Datson,21,0,0,21,100
K14.0334,cW_743,,,Red,,,,,Paul Datson,21,0,0,21,100
K14.0383,rPD_738,,,Red,,,,,Paul Datson,25,0,0,25,100
K14.0384,rPD_739,,,Red,,,,,Paul Datson,25,0,0,25,100
K14.0385,rPD_740,,,Red,,,,,Paul Datson,25,0,0,25,100
K14.0252,,,,Red,,,,,Paul Datson,12,0,1,11,91.67
