"CrossName","BrCrCode","Synonym","sexTestRes","Program","Subprogram","Concept","Funding","Contract","Breeder","Planted","nonPsa","PsaDeaths","Remaining","Percent_Remaining"
"K13.1120","UJ_583","","","Green","Green","","Commercial","NC1501","Elizabeth Popowski","190","43","17","130","68.42"
"K13.1049","UM_583","","","Green","Green","","Commercial","NC1501","Elizabeth Popowski","40","13","5","22","55"
"K13.1063","US_583","","","Green","Green","","Commercial","NC1501","Elizabeth Popowski","115","54","16","45","39.13"
"K13.1066","UT_574","","","Green","Green","","Commercial","NC1501","Elizabeth Popowski","46","19","6","21","45.65"
"K13.1067","UT_583","","","Green","Green","","Commercial","NC1501","Elizabeth Popowski","87","46","20","21","24.14"
"K12.0573","rG_351","rG_351","Female","Red","2x Red","","Commercial","NC1574","Russell Lowe","10","0","5","5","50"
"K12.0533","rMA_351","rMA_351","Female","Red","2x Red","","Commercial","NC1574","Russell Lowe","21","0","11","10","47.62"
"K12.0533","rMA_351","rMA_351","Male","Red","2x Red","","Commercial","NC1574","Russell Lowe","1","0","1","0","0"
"K12.0533","rMA_351","rMA_351","Negative","Red","2x Red","","Commercial","NC1574","Russell Lowe","3","0","0","3","100"
"K12.0533","rMA_351","rMA_351","Unknown","Red","2x Red","","Commercial","NC1574","Russell Lowe","1","0","1","0","0"
"K13.1299","rOC_208","","Female","Red","2x Red","","Commercial","NC1501","Russell Lowe","39","0","30","9","23.08"
"K13.1299","rOC_208","","Male","Red","2x Red","","Commercial","NC1501","Russell Lowe","7","0","6","1","14.29"
"K13.1300","rOC_287","","Female","Red","2x Red","","Commercial","NC1501","Russell Lowe","113","5","88","20","17.7"
"K13.1300","rOC_287","","Male","Red","2x Red","","Commercial","NC1501","Russell Lowe","7","0","6","1","14.29"
"K13.1300","rOC_287","","Negative","Red","2x Red","","Commercial","NC1501","Russell Lowe","4","0","4","0","0"
"K13.1308","rOD_287","","Female","Red","2x Red","","Commercial","NC1501","Russell Lowe","198","2","187","9","4.55"
"K13.1308","rOD_287","","Male","Red","2x Red","","Commercial","NC1501","Russell Lowe","13","0","13","0","0"
"K13.1308","rOD_287","","Negative","Red","2x Red","","Commercial","NC1501","Russell Lowe","1","0","1","0","0"
"K13.1313","rOD_352","","Female","Red","2x Red","","Commercial","NC1501","Russell Lowe","167","12","154","1","0.6"
"K13.1313","rOD_352","","Male","Red","2x Red","","Commercial","NC1501","Russell Lowe","11","0","11","0","0"
"K13.1314","rOD_354","","Female","Red","2x Red","","Commercial","NC1501","Russell Lowe","203","5","193","5","2.46"
"K13.1314","rOD_354","","Male","Red","2x Red","","Commercial","NC1501","Russell Lowe","10","0","10","0","0"
"K13.1315","rOE_208","","Female","Red","2x Red","","Commercial","NC1501","Russell Lowe","174","2","130","42","24.14"
"K13.1315","rOE_208","","Male","Red","2x Red","","Commercial","NC1501","Russell Lowe","8","0","5","3","37.5"
"K13.1316","rOE_287","","Female","Red","2x Red","","Commercial","NC1501","Russell Lowe","152","3","125","24","15.79"
